champion,lane_opponent,role,n_games,n_wins,winrate,lane_minions_first_10_minutes,max_cs_advantage_on_lane_opponent,max_level_lead_lane_opponent,turret_plates_taken,solo_kills,deaths,overall_n_games,overall_n_wins,overall_avg_lane_minions_first_10_minutes,overall_avg_max_cs_advantage_on_lane_opponent,overall_avg_max_level_lead_lane_opponent,overall_avg_turret_plates_taken,overall_avg_solo_kills,overall_avg_deaths,overall_winrate,normalized_lane_minions_first_10_minutes,normalized_max_cs_advantage_on_lane_opponent,normalized_max_level_lead_lane_opponent,normalized_turret_plates_taken,normalized_solo_kills,normalized_deaths
Aatrox,FiddleSticks,TOP,5,3,0.6,74.4,66.6,2.4,4.0,2.4,4.8,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.6727272727272727,0.7040169133192389,0.6545454545454547,0.8571428571428571,0.31304347826086953,0.49473684210526325
Aatrox,Fiora,TOP,247,127,0.5141700404858299,64.81376518218623,22.86234817813765,1.7530364372469636,2.0931174089068825,2.3684210526315788,5.271255060728745,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.47161745137453626,0.24167387080483774,0.4781008465218992,0.4485251590514748,0.3089244851258581,0.4451310462390795
Aatrox,Fizz,TOP,7,4,0.5714285714285714,62.285714285714285,29.428571428571427,1.5714285714285714,1.1428571428571428,1.5714285714285714,6.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4185814185814184,0.31108426457263666,0.4285714285714286,0.24489795918367344,0.20496894409937888,0.368421052631579
Aatrox,Galio,TOP,5,2,0.4,68.8,28.2,1.6,2.0,1.2,4.2,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5552447552447551,0.29809725158562367,0.43636363636363645,0.42857142857142855,0.15652173913043477,0.5578947368421052
Aatrox,Gangplank,TOP,75,46,0.6133333333333333,65.88,25.69333333333333,1.8133333333333332,2.026666666666667,2.5866666666666664,4.8133333333333335,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4939860139860138,0.271599718111346,0.49454545454545457,0.4342857142857143,0.33739130434782605,0.4933333333333334
Aatrox,Garen,TOP,296,189,0.6385135135135135,75.60472972972973,34.33783783783784,1.8344594594594594,2.4121621621621623,2.070945945945946,4.628378378378378,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.6980013230013228,0.3629792583280955,0.5003071253071254,0.5168918918918919,0.27012338425381904,0.5128022759601707
Aatrox,Gnar,TOP,114,72,0.631578947368421,69.8157894736842,28.63157894736842,1.780701754385965,1.7280701754385965,2.3157894736842106,4.93859649122807,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5765550239234448,0.30265939690664295,0.4856459330143541,0.37030075187969924,0.30205949656750575,0.4801477377654664
Aatrox,Gragas,TOP,106,59,0.5566037735849056,70.59433962264151,35.43396226415094,1.6886792452830188,1.5849056603773586,1.8773584905660377,5.688679245283019,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5928882438316402,0.37456619729546453,0.460548885077187,0.33962264150943394,0.24487284659557013,0.40119165839126114
Aatrox,Graves,TOP,3,3,1.0,69.0,24.333333333333332,2.3333333333333335,4.333333333333333,2.3333333333333335,2.3333333333333335,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5594405594405595,0.2572233967582805,0.6363636363636365,0.9285714285714285,0.30434782608695654,0.7543859649122807
Aatrox,Gwen,TOP,138,73,0.5289855072463768,65.05797101449275,22.514492753623188,1.8985507246376812,2.2971014492753623,2.9347826086956523,5.594202898550725,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4767406506536941,0.237996752152465,0.5177865612648223,0.49223602484472045,0.3827977315689981,0.4111365369946606
Aatrox,Hecarim,TOP,4,1,0.25,63.0,34.25,1.75,2.75,2.5,4.5,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.43356643356643343,0.3620507399577167,0.47727272727272735,0.5892857142857143,0.32608695652173914,0.5263157894736843
Aatrox,Heimerdinger,TOP,21,10,0.47619047619047616,66.0,25.80952380952381,2.0476190476190474,1.0,2.9523809523809526,4.523809523809524,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.49650349650349634,0.2728279472465519,0.5584415584415585,0.21428571428571427,0.38509316770186336,0.5238095238095238
Aatrox,Hwei,TOP,3,2,0.6666666666666666,63.333333333333336,18.0,1.3333333333333333,4.0,1.6666666666666667,6.666666666666667,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4405594405594405,0.19027484143763213,0.36363636363636365,0.8571428571428571,0.21739130434782608,0.29824561403508776
Aatrox,Illaoi,TOP,108,62,0.5740740740740741,63.592592592592595,22.88888888888889,1.7685185185185186,1.8333333333333333,2.4814814814814814,5.083333333333333,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.44599844599844596,0.24195442800093964,0.48232323232323243,0.3928571428571428,0.32367149758454106,0.4649122807017545
